ID        Nombre    Apellido       Categoria           Facturacion         Activo
1         HARRY     POTTER         A                   1036.30             1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
7         HERMIONE  GRANGER        A                   2035.34             1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
15        RONALD    WEASLEY        B                   1032.59             1
0         0         0              0                   0.00                -1
17        POMONA    SPROUT         A                   2541.34             1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
24        SEVERUS   SNAPE          C                   0.00                0
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
44        BELLATRIX LASTRANGE      C                   0.00                0
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
55        NEWTON    SCAMANDER      C                   2564.33             1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
66        DOBBY     ELFO           A                   0.00                0
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
69        ALASTOR   MODDY          A                   365.33              0
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
84        LUNA      LOVEGOOD       B                   2254.33             0
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
0         0         0              0                   0.00                -1
100       ALBUS     DUMBLEDORE     A                   123654.33           0
100       ALBUS     DUMBLEDORE     A                   123654.33           0
